insurer_id,insurer_no,insurer_name,municipal_administration_name,region_kind,insurer_start_date,insurer_end_date
1836,000,非該当者対応番号,,8,2021/04/01,9999/12/31
1837,000000,非該当者対応番号,,8,2021/04/01,9999/12/31
1838,011007,札幌市,,7,2021/04/01,9999/12/31
1839,018010,日高中部広域連合（広域連合等）,,8,2021/04/01,9999/12/31
1840,018127,空知中部広域連合（広域連合等）,,8,2021/04/01,9999/12/31
1841,018150,後志広域連合（広域連合等）,,8,2021/04/01,9999/12/31
1842,018325,大雪地区広域連合（広域連合等）,,8,2021/04/01,9999/12/31
1843,038281,二戸地区広域行政事務組合（広域連合等）,,8,2021/04/01,9999/12/31
1844,038299,盛岡北部行政事務組合（広域連合等）,,8,2021/04/01,9999/12/31
1845,038802,久慈広域連合（広域連合等）,,8,2021/04/01,9999/12/31
1846,038828,一関地区広域行政組合（広域連合等）,,8,2021/04/01,9999/12/31
1847,041004,仙台市,,6,2021/04/01,9999/12/31
1848,058545,本荘由利広域市町村圏組合（広域連合等）,,8,2021/04/01,9999/12/31
1849,058628,大曲仙北広域市町村圏組合（広域連合等）,,8,2021/04/01,9999/12/31
1850,089045,新治地方広域事務組合（広域連合等）,,8,2021/04/01,9999/12/31
1851,118729,大里広域市町村圏組合（広域連合等）,,7,2021/04/01,9999/12/31
1852,121004,千葉市,,3,2021/04/01,9999/12/31
1853,141002,横浜市,,2,2021/04/01,9999/12/31
1854,141309,川崎市,,2,2021/04/01,9999/12/31
1855,169045,中新川広域行政事務組合（広域連合等）,,8,2021/04/01,9999/12/31
1856,169078,砺波地方介護保険組合（広域連合等）,,8,2021/04/01,9999/12/31
1857,169094,新川地域介護保険組合（広域連合等）,,8,2021/04/01,9999/12/31
1858,188532,坂井地区広域連合（広域連合等）,,8,2021/04/01,9999/12/31
1859,208934,北アルプス広域連合（広域連合等）,,8,2021/04/01,9999/12/31
1860,209270,木曽広域連合（広域連合等）,,8,2021/04/01,9999/12/31
1861,209817,諏訪広域連合（広域連合等）,,8,2021/04/01,9999/12/31
1862,219758,安八郡広域連合（広域連合等）,,8,2021/04/01,9999/12/31
1863,219766,揖斐広域連合（広域連合等）,,8,2021/04/01,9999/12/31
1864,219774,もとす広域連合（広域連合等）,,8,2021/04/01,9999/12/31
1865,231001,名古屋市,,3,2021/04/01,9999/12/31
1866,239178,知多北部広域連合（広域連合等）,,7,2021/04/01,9999/12/31
1867,239335,東三河広域連合（広域連合）,,7,2021/04/01,9999/12/31
1868,249219,紀北広域連合（広域連合等）,,8,2021/04/01,9999/12/31
1869,249227,紀南介護保険広域連合（広域連合等）,,8,2021/04/01,9999/12/31
1870,249276,鈴鹿亀山地区広域連合（広域連合等）,,6,2021/04/01,9999/12/31
1871,261008,京都市,,5,2021/04/01,9999/12/31
1872,278648,くすのき広域連合（広域連合等）,,3,2021/04/01,9999/12/31
1873,281006,神戸市,,4,2021/04/01,9999/12/31
1874,318378,南部箕蚊屋広域連合（広域連合等）,,8,2021/04/01,9999/12/31
1875,328880,邑智郡総合事務組合（広域連合等）,,8,2021/04/01,9999/12/31
1876,328914,浜田地区広域行政組合（広域連合等）,,8,2021/04/01,9999/12/31
1877,328930,雲南広域連合（広域連合等）,,8,2021/04/01,9999/12/31
1878,328948,隠岐広域連合（広域連合等）,,8,2021/04/01,9999/12/31
1879,341008,広島市,,5,2021/04/01,9999/12/31
1880,369108,みよし広域連合（広域連合等）,,8,2021/04/01,9999/12/31
1881,398784,中芸広域連合（広域連合等）,,8,2021/04/01,9999/12/31
1882,401000,北九州市,,7,2021/04/01,9999/12/31
1883,401307,福岡市,,5,2021/04/01,9999/12/31
1884,409540,福岡県介護保険広域連合（広域連合等）,,5,2021/04/01,9999/12/31
1885,418301,杵藤地区広域市町村圏組合（広域連合等）,,8,2021/04/01,9999/12/31
1886,418418,鳥栖地区広域市町村圏組合（広域連合等）,,8,2021/04/01,9999/12/31
1887,418566,佐賀中部広域連合（広域連合等）,,8,2021/04/01,9999/12/31
1888,428433,島原地域広域市町村圏組合（広域連合等）,,8,2021/04/01,9999/12/31
1889,478446,沖縄県介護保険広域連合（広域連合等）,,8,2021/04/01,9999/12/31
