service_item_code_id,service_type_code,service_item_code,service_item_name,service_synthetic_unit,service_calculation_unit,service_start_date,service_end_date,service_kind,service_calcinfo_1,service_calcinfo_2,service_calcinfo_3,service_calcinfo_4,service_calcinfo_5,reserve1,reserve2,reserve3,reserve4,rank,classification_support_limit_flg,synthetic_unit_input_flg
1,32,1111,認知症共同生活介護Ⅰ１,764,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
2,32,1113,認知症共同生活介護Ⅰ１・夜減,741,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
3,32,1121,認知症共同生活介護Ⅰ２,800,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
4,32,1123,認知症共同生活介護Ⅰ２・夜減,776,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
5,32,1131,認知症共同生活介護Ⅰ３,823,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
6,32,1133,認知症共同生活介護Ⅰ３・夜減,798,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
7,32,1141,認知症共同生活介護Ⅰ４,840,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
8,32,1143,認知症共同生活介護Ⅰ４・夜減,815,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
9,32,1151,認知症共同生活介護Ⅰ５,858,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
10,32,1153,認知症共同生活介護Ⅰ５・夜減,832,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
11,32,2111,認知症共同生活介護Ⅱ１,752,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
12,32,2113,認知症共同生活介護Ⅱ１・夜減,729,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
13,32,2121,認知症共同生活介護Ⅱ２,787,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
14,32,2123,認知症共同生活介護Ⅱ２・夜減,763,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
15,32,2131,認知症共同生活介護Ⅱ３,811,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
16,32,2133,認知症共同生活介護Ⅱ３・夜減,787,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
17,32,2141,認知症共同生活介護Ⅱ４,827,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
18,32,2143,認知症共同生活介護Ⅱ４・夜減,802,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
19,32,2151,認知症共同生活介護Ⅱ５,844,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
20,32,2153,認知症共同生活介護Ⅱ５・夜減,819,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
21,32,6304,認知症対応型身体拘束廃止未実施減算Ⅰ１,-76,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
22,32,6305,認知症対応型身体拘束廃止未実施減算Ⅰ２,-80,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
23,32,6306,認知症対応型身体拘束廃止未実施減算Ⅰ３,-82,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
24,32,6307,認知症対応型身体拘束廃止未実施減算Ⅰ４,-84,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
25,32,6308,認知症対応型身体拘束廃止未実施減算Ⅰ５,-86,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
26,32,6309,認知症対応型身体拘束廃止未実施減算Ⅱ１,-75,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
27,32,6310,認知症対応型身体拘束廃止未実施減算Ⅱ２,-79,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
28,32,6311,認知症対応型身体拘束廃止未実施減算Ⅱ３,-81,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
29,32,6312,認知症対応型身体拘束廃止未実施減算Ⅱ４,-83,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
30,32,6313,認知症対応型身体拘束廃止未実施減算Ⅱ５,-84,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
31,32,6110,認知症対応型３ユニット夜勤職員２人以上の場合の減算,-50,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
32,32,6161,認知症対応型夜間支援体制加算Ⅰ,50,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
33,32,6171,認知症対応型夜間支援体制加算Ⅱ,25,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
34,32,6109,認知症対応型若年性認知症受入加算,120,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
35,32,6400,認知症対応型入院時費用,246,6,2021/4/1,9999/12/1,1,,,,,,,,,,3,0,0
36,32,6140,認知症対応型看取り介護加算１,72,1,2021/4/1,9999/12/1,1,,,,,,,,,,3,0,0
37,32,6142,認知症対応型看取り介護加算２,144,1,2021/4/1,9999/12/1,1,,,,,,,,,,3,0,0
38,32,6143,認知症対応型看取り介護加算３,680,1,2021/4/1,9999/12/1,1,,,,,,,,,,3,0,0
39,32,6144,認知症対応型看取り介護加算４,1280,1,2021/4/1,9999/12/1,1,,,,,,,,,,3,0,0
40,32,1550,認知症対応型初期加算,30,1,2021/4/1,9999/12/1,1,,,,,,,,,,3,0,0
41,32,1600,認知症対応型医療連携体制加算Ⅰ,39,1,2021/4/1,9999/12/1,1,,,,,,,,,,3,0,0
42,32,1601,認知症対応型医療連携体制加算Ⅱ,49,1,2021/4/1,9999/12/1,1,,,,,,,,,,3,0,0
43,32,1602,認知症対応型医療連携体制加算Ⅲ,59,1,2021/4/1,9999/12/1,1,,,,,,,,,,3,0,0
44,32,6502,認知症対応型退居時相談援助加算,400,30,2021/4/1,9999/12/1,2,,,,,,,,,,3,0,0
45,32,6133,認知症対応型認知症専門ケア加算Ⅰ,3,1,2021/4/1,9999/12/1,1,,,,,,,,,,3,0,0
46,32,6134,認知症対応型認知症専門ケア加算Ⅱ,4,1,2021/4/1,9999/12/1,1,,,,,,,,,,3,0,0
47,32,4001,認知症対応型生活機能向上連携加算Ⅰ,100,30,2021/4/1,9999/12/1,2,,,,,,,,,,3,0,0
48,32,4002,認知症対応型生活機能向上連携加算Ⅱ,200,30,2021/4/1,9999/12/1,2,,,,,,,,,,3,0,0
49,32,6200,認知症対応型栄養管理体制加算,30,30,2021/4/1,9999/12/1,2,,,,,,,,,,3,0,0
50,32,6122,認知症対応型口腔衛生管理体制加算,30,30,2021/4/1,9999/12/1,2,,,,,,,,,,3,0,0
51,32,6201,認知症対応型口腔栄養スクリーニング加算,20,1,2021/4/1,9999/12/1,1,,,,,,,,,,3,0,0
52,32,6361,認知症対応型科学的介護推進体制加算,40,30,2021/4/1,9999/12/1,2,,,,,,,,,,3,0,0
53,32,6099,認知症対応サービス提供体制加算Ⅰ,22,1,2021/4/1,9999/12/1,1,,,,,,,,,,3,0,0
54,32,6100,認知症対応サービス提供体制加算Ⅱ,18,1,2021/4/1,9999/12/1,1,,,,,,,,,,3,0,0
55,32,6101,認知症対応サービス提供体制加算Ⅰ,12,1,2021/4/1,9999/12/1,1,,,,,,,,,,3,0,0
56,32,6102,認知症対応サービス提供体制加算Ⅱ,6,1,2021/4/1,9999/12/1,1,,,,,,,,,,3,0,0
57,32,6103,認知症対応サービス提供体制加算Ⅲ,6,1,2021/4/1,9999/12/1,1,,,,,,,,,,3,0,0
58,32,6108,認知症対応型処遇改善加算Ⅰ,0,30,2021/4/1,9999/12/1,2,111,,,,,,,,,4,0,0
59,32,6107,認知症対応型処遇改善加算Ⅱ,0,30,2021/4/1,9999/12/1,2,81,,,,,,,,,4,0,0
60,32,6104,認知症対応型処遇改善加算Ⅲ,0,30,2021/4/1,9999/12/1,2,45,,,,,,,,,4,0,0
61,32,6105,認知症対応型処遇改善加算Ⅳ,0,30,2021/4/1,2022/3/31,2,45,900,,,,,,,,4,0,0
62,32,6106,認知症対応型処遇改善加算Ⅴ,0,30,2021/4/1,2022/3/31,2,45,800,,,,,,,,4,0,0
63,32,6111,認知症対応型特定処遇改善加算Ⅰ,0,30,2021/4/1,9999/12/1,2,31,,,,,,,,,4,0,0
64,32,6112,認知症対応型特定処遇改善加算Ⅱ,0,30,2021/4/1,9999/12/1,2,23,,,,,,,,,4,0,0
65,32,8300,認知症対応型令和３年９月３０日までの上乗せ分,0,30,2021/4/1,2021/9/30,2,1,,,,,,,,,2,0,0
66,32,8001,認知症共同生活介護Ⅰ１・超,535,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
67,32,8003,認知症共同生活介護Ⅰ１・夜減・超,519,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
68,32,8011,認知症共同生活介護Ⅰ２・超,560,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
69,32,8013,認知症共同生活介護Ⅰ２・夜減・超,543,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
70,32,8021,認知症共同生活介護Ⅰ３・超,576,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
71,32,8023,認知症共同生活介護Ⅰ３・夜減・超,559,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
72,32,8031,認知症共同生活介護Ⅰ４・超,588,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
73,32,8033,認知症共同生活介護Ⅰ４・夜減・超,571,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
74,32,8041,認知症共同生活介護Ⅰ５・超,601,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
75,32,8043,認知症共同生活介護Ⅰ５・夜減・超,582,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
76,32,8101,認知症共同生活介護Ⅱ１・超,526,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
77,32,8103,認知症共同生活介護Ⅱ１・夜減・超,510,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
78,32,8111,認知症共同生活介護Ⅱ２・超,551,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
79,32,8113,認知症共同生活介護Ⅱ２・夜減・超,534,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
80,32,8121,認知症共同生活介護Ⅱ３・超,568,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
81,32,8123,認知症共同生活介護Ⅱ３・夜減・超,551,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
82,32,8131,認知症共同生活介護Ⅱ４・超,579,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
83,32,8133,認知症共同生活介護Ⅱ４・夜減・超,561,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
84,32,8141,認知症共同生活介護Ⅱ５・超,591,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
85,32,8143,認知症共同生活介護Ⅱ５・夜減・超,573,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
86,32,9001,認知症共同生活介護Ⅰ１・欠,535,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
