service_item_code_id,service_type_code,service_item_code,service_item_name,service_synthetic_unit,service_calculation_unit,service_start_date,service_end_date,service_kind,service_calcinfo_1,service_calcinfo_2,service_calcinfo_3,service_calcinfo_4,service_calcinfo_5,reserve1,reserve2,reserve3,reserve4,rank
109,37,1121,予認知症共同生活介護Ⅰ２,760,1,2021/4/1,9999/12/1,1,,,,,,,,,,1
110,37,1123,予認知症共同生活介護Ⅰ２・夜減,737,1,2021/4/1,9999/12/1,1,,,,,,,,,,1
111,37,2121,予認知症共同生活介護Ⅱ２,748,1,2021/4/1,9999/12/1,1,,,,,,,,,,1
112,37,2123,予認知症共同生活介護Ⅱ２・夜減,726,1,2021/4/1,9999/12/1,1,,,,,,,,,,1
113,37,6304,予認知症身体拘束廃止未実施減算Ⅰ２,-76,1,2021/4/1,9999/12/1,1,,,,,,,,,,1
114,37,6305,予認知症身体拘束廃止未実施減算Ⅱ２,-75,1,2021/4/1,9999/12/1,1,,,,,,,,,,1
115,37,6110,予認知症対応型３ユニット夜勤職員２人以上の場合の,-50,1,2021/4/1,9999/12/1,1,,,,,,,,,,1
116,37,6161,予認知症対応夜間支援体制加算Ⅰ,50,1,2021/4/1,9999/12/1,1,,,,,,,,,,1
117,37,6171,予認知症対応夜間支援体制加算Ⅱ,25,1,2021/4/1,9999/12/1,1,,,,,,,,,,1
118,37,6109,予認知症対応若年性認知症受入加算,120,1,2021/4/1,9999/12/1,1,,,,,,,,,,1
119,37,6400,予認知症対応型入院時費用,246,6,2021/4/1,9999/12/1,1,,,,,,,,,,3
120,37,1550,予認知症対応型初期加算,30,1,2021/4/1,9999/12/1,1,,,,,,,,,,3
121,37,6502,予認知症対応退居時相談援助加算,400,30,2021/4/1,9999/12/1,2,,,,,,,,,,3
122,37,6133,予認知症対応認知症専門ケア加算Ⅰ,3,1,2021/4/1,9999/12/1,1,,,,,,,,,,3
123,37,6134,予認知症対応認知症専門ケア加算Ⅱ,4,1,2021/4/1,9999/12/1,1,,,,,,,,,,3
124,37,4001,予認知症対応型生活機能向上連携加算Ⅰ,100,30,2021/4/1,9999/12/1,2,,,,,,,,,,3
125,37,4002,予認知症対応型生活機能向上連携加算Ⅱ,200,30,2021/4/1,9999/12/1,2,,,,,,,,,,3
126,37,6200,予認知症対応型栄養管理体制加算,30,30,2021/4/1,9999/12/1,2,,,,,,,,,,3
127,37,6122,予認知症対応型口腔衛生管理体制加算,30,30,2021/4/1,9999/12/1,2,,,,,,,,,,3
128,37,6201,予認知症対応型口腔栄養スクリーニング加算,20,30,2021/4/1,9999/12/1,1,,,,,,,,,,3
129,37,6361,予認知症対応型科学的介護推進体制加算,40,30,2021/4/1,9999/12/1,2,,,,,,,,,,3
130,37,6099,予認知対応サービス提供体制加算Ⅰ,22,1,2021/4/1,9999/12/1,1,,,,,,,,,,3
131,37,6100,予認知対応サービス提供体制加算Ⅱ,18,1,2021/4/1,9999/12/1,1,,,,,,,,,,3
132,37,6103,予認知対応サービス提供体制加算Ⅲ,6,1,2021/4/1,9999/12/1,1,,,,,,,,,,3
133,37,6108,予認知症対応型処遇改善加算Ⅰ,0,30,2021/4/1,9999/12/1,2,111,,,,,,,,,4
134,37,6107,予認知症対応型処遇改善加算Ⅱ,0,30,2021/4/1,9999/12/1,2,81,,,,,,,,,4
135,37,6104,予認知症対応型処遇改善加算Ⅲ,0,30,2021/4/1,9999/12/1,2,45,,,,,,,,,4
136,37,6105,予認知症対応型処遇改善加算Ⅳ,0,30,2021/4/1,9999/12/1,2,45,900,,,,,,,,4
137,37,6106,予認知症対応型処遇改善加算Ⅴ,0,30,2021/4/1,9999/12/1,2,45,800,,,,,,,,4
138,37,6111,予認知症対応型特定処遇改善加算Ⅰ,0,30,2021/4/1,9999/12/1,2,31,,,,,,,,,4
139,37,6112,予認知症対応型特定処遇改善加算Ⅱ,0,30,2021/4/1,9999/12/1,2,23,,,,,,,,,4
140,37,8011,予認知症共同生活介護Ⅰ２・超,532,1,2021/4/1,9999/12/1,1,,,,,,,,,,1
141,37,8013,予認知症共同生活介護Ⅰ２・夜・超 ,516,1,2021/4/1,9999/12/1,1,,,,,,,,,,1
142,37,8111,予認知症共同生活介護Ⅱ２・超,524,1,2021/4/1,9999/12/1,1,,,,,,,,,,1
143,37,8113,予認知症共同生活介護Ⅱ２・夜・超,508,1,2021/4/1,9999/12/1,1,,,,,,,,,,1
144,37,9011,予認知症共同生活介護Ⅰ２・欠,532,1,2021/4/1,9999/12/1,1,,,,,,,,,,1
145,37,9013,予認知症共同生活介護Ⅰ２・夜・欠,516,1,2021/4/1,9999/12/1,1,,,,,,,,,,1
146,37,9111,予認知症共同生活介護Ⅱ２・欠 ,524,1,2021/4/1,9999/12/1,1,,,,,,,,,,1
147,37,9113,予認知症共同生活介護Ⅱ２・夜・欠,508,1,2021/4/1,9999/12/1,1,,,,,,,,,,1
