service_item_code_id,service_type_code,service_item_code,service_item_name,service_synthetic_unit,service_calculation_unit,service_start_date,service_end_date,service_kind,service_calcinfo_1,service_calcinfo_2,service_calcinfo_3,service_calcinfo_4,service_calcinfo_5,reserve1,reserve2,reserve3,reserve4,rank,classification_support_limit_flg,synthetic_unit_input_flg
148,33,1111,特定施設生活介護１,538,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
149,33,1121,特定施設生活介護２,604,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
150,33,1131,特定施設生活介護３,674,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
151,33,1141,特定施設生活介護４,738,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
152,33,1151,特定施設生活介護５,807,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
153,33,6304,特定施設身体拘束廃止未実施減算１,-54,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
154,33,6305,特定施設身体拘束廃止未実施減算２,-60,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
155,33,6306,特定施設身体拘束廃止未実施減算３,-67,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
156,33,6307,特定施設身体拘束廃止未実施減算４,-74,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
157,33,6308,特定施設身体拘束廃止未実施減算５,-81,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
158,33,6320,特定施設入居継続支援加算Ⅰ,36,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
159,33,6321,特定施設入居継続支援加算Ⅱ,22,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
160,33,4001,特定施設生活機能向上連携加算Ⅰ,100,30,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
161,33,4002,特定施設生活機能向上連携加算Ⅱ１,200,30,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
162,33,4003,特定施設生活機能向上連携加算Ⅱ２,100,30,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
163,33,6003,特定施設個別機能訓練加算Ⅰ,12,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
164,33,6004,特定施設個別機能訓練加算Ⅱ,20,30,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
165,33,6005,特定施設ＡＤＬ維持等加算Ⅰ,30,30,2021/4/1,9999/12/1,2,,,,,,,,,,1,0,0
166,33,6006,特定施設ＡＤＬ維持等加算Ⅱ,60,30,2021/4/1,9999/12/1,2,,,,,,,,,,1,0,0
167,33,1160,特定施設夜間看護体制加算,10,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
168,33,6109,特定施設若年性認知症受入加算,120,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
169,33,6123,特定施設医療機関連携加算,80,30,2021/4/1,9999/12/1,2,,,,,,,,,,1,0,0
170,33,6122,特定施設口腔衛生管理体制加算,30,30,2021/4/1,9999/12/1,2,,,,,,,,,,1,0,0
171,33,6201,特定施設口腔栄養スクリーニング加算,20,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,0,0
172,33,6361,特定施設科学的介護推進体制加算,40,30,2021/4/1,9999/12/1,2,,,,,,,,,,1,0,0
173,33,1201,外部特定施設生活介護,83,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
174,33,6124,特定施設障害者等支援加算,20,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
175,33,1311,外部身体介護１,96,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
176,33,1312,外部身体介護２,193,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
177,33,1313,外部身体介護３,262,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
178,33,1314,外部身体介護４,349,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
179,33,1315,外部身体介護５,436,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
180,33,1316,外部身体介護６,523,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
181,33,1317,外部身体介護７,0,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,1
182,33,1321,外部生活援助１,49,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
183,33,1322,外部生活援助２,96,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
184,33,1323,外部生活援助３,145,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
185,33,1324,外部生活援助４,194,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
186,33,1325,外部生活援助５,219,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
187,33,1326,外部生活援助６,262,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
188,33,1331,外部通院等乗降介助,87,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
189,33,1411,外部訪問入浴介護,1134,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
190,33,1511,外部訪問看護Ⅰ１,282,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
191,33,1517,外部訪問看護Ⅰ１・准看,254,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
192,33,1512,外部訪問看護Ⅰ２,423,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
193,33,1513,外部訪問看護Ⅰ３,739,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
194,33,1514,外部訪問看護Ⅰ４,1013,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
195,33,1515,外部訪問看護Ⅰ５,264,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
196,33,1516,外部訪問看護Ⅰ５・２超,237,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
197,33,1521,外部訪問看護Ⅱ１,239,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
198,33,1525,外部訪問看護Ⅱ１・准看,215,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
199,33,1522,外部訪問看護Ⅱ２,358,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
200,33,1523,外部訪問看護Ⅱ３,516,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
201,33,1524,外部訪問看護Ⅱ４,758,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
202,33,1611,外部訪問リハ１,276,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
203,33,1612,外部訪問リハ２,276,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
204,33,1613,外部訪問リハ３,276,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
205,33,1751,外部通所介護Ⅰ２１・時減,243,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
206,33,1752,外部通所介護Ⅰ２２・時減,278,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
207,33,1753,外部通所介護Ⅰ２３・時減,315,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
208,33,1754,外部通所介護Ⅰ２４・時減,351,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
209,33,1755,外部通所介護Ⅰ２５・時減,387,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
210,33,1761,外部通所介護Ⅰ１１,331,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
211,33,1762,外部通所介護Ⅰ１２,379,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
212,33,1763,外部通所介護Ⅰ１３,429,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
213,33,1764,外部通所介護Ⅰ１４,477,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
214,33,1765,外部通所介護Ⅰ１５,527,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
215,33,1766,外部通所介護Ⅰ２１,347,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
216,33,1767,外部通所介護Ⅰ２２,398,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
217,33,1768,外部通所介護Ⅰ２３,450,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
218,33,1769,外部通所介護Ⅰ２４,501,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
219,33,1793,外部通所介護Ⅰ２５,553,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
220,33,1771,外部通所介護Ⅰ３１,510,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
221,33,1772,外部通所介護Ⅰ３２,603,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
222,33,1773,外部通所介護Ⅰ３３,696,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
223,33,1774,外部通所介護Ⅰ３４,788,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
224,33,1775,外部通所介護Ⅰ３５,881,1,2021/4/1,9999/12/1,1,,,,,,,,,,1,1,0
