service_item_code_id,service_type_code,service_item_code,service_item_name,service_synthetic_unit,service_calculation_unit,service_start_date,service_end_date,service_kind,service_calcinfo_1,service_calcinfo_2,service_calcinfo_3,service_calcinfo_4,service_calcinfo_5,reserve1,reserve2,reserve3,reserve4,rank,classification_support_limit_flg,synthetic_unit_input_flg
1003,55,1001,Ⅰ型医療院Ⅰⅰ１,714,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1004,55,1002,Ⅰ型医療院Ⅰⅰ１・夜減,689,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1005,55,1003,Ⅰ型医療院Ⅰⅰ２,824,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1006,55,1004,Ⅰ型医療院Ⅰⅰ２・夜減,799,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1007,55,1005,Ⅰ型医療院Ⅰⅰ３,1060,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1008,55,1006,Ⅰ型医療院Ⅰⅰ３・夜減,1035,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1009,55,1007,Ⅰ型医療院Ⅰⅰ４,1161,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1010,55,1008,Ⅰ型医療院Ⅰⅰ４・夜減,1136,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1011,55,1009,Ⅰ型医療院Ⅰⅰ５,1251,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1012,55,1010,Ⅰ型医療院Ⅰⅰ５・夜減,1226,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1013,55,1011,Ⅰ型医療院Ⅰⅱ１,825,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,0,0
1014,55,1012,Ⅰ型医療院Ⅰⅱ１・夜減,800,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1015,55,1013,Ⅰ型医療院Ⅰⅱ２,934,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,0,0
1016,55,1014,Ⅰ型医療院Ⅰⅱ２・夜減,909,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1017,55,1015,Ⅰ型医療院Ⅰⅱ３,1171,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,0,0
1018,55,1016,Ⅰ型医療院Ⅰⅱ３・夜減,1146,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1019,55,1017,Ⅰ型医療院Ⅰⅱ４,1271,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,0,0
1020,55,1018,Ⅰ型医療院Ⅰⅱ４・夜減,1246,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1021,55,1019,Ⅰ型医療院Ⅰⅱ５,1362,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,0,0
1022,55,1020,Ⅰ型医療院Ⅰⅱ５・夜減,1337,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1023,55,1021,Ⅰ型医療院Ⅱⅰ１,704,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1024,55,1022,Ⅰ型医療院Ⅱⅰ１・夜減,679,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1025,55,1023,Ⅰ型医療院Ⅱⅰ２,812,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1026,55,1024,Ⅰ型医療院Ⅱⅰ２・夜減,787,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1027,55,1025,Ⅰ型医療院Ⅱⅰ３,1045,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1028,55,1026,Ⅰ型医療院Ⅱⅰ３・夜減,1020,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1029,55,1027,Ⅰ型医療院Ⅱⅰ４,1144,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1030,55,1028,Ⅰ型医療院Ⅱⅰ４・夜減,1119,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1031,55,1029,Ⅰ型医療院Ⅱⅰ５,1233,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1032,55,1030,Ⅰ型医療院Ⅱⅰ５・夜減,1208,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1033,55,1031,Ⅰ型医療院Ⅱⅱ１,813,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1034,55,1032,Ⅰ型医療院Ⅱⅱ１・夜減,788,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1035,55,1033,Ⅰ型医療院Ⅱⅱ２,921,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1036,55,1034,Ⅰ型医療院Ⅱⅱ２・夜減,896,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1037,55,1035,Ⅰ型医療院Ⅱⅱ３,1154,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1038,55,1036,Ⅰ型医療院Ⅱⅱ３・夜減,1129,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1039,55,1037,Ⅰ型医療院Ⅱⅱ４,1252,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1040,55,1038,Ⅰ型医療院Ⅱⅱ４・夜減,1227,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
1041,55,1039,Ⅰ型医療院Ⅱⅱ５,1342,1,2021/04/01,9999/12/01,1,,,,,,,,,,1,1,0
